,ID,발생일시,사고인지 시간,날씨,기온,습도,공사종류,연면적,층 정보,인적사고,물적사고,공종,사고객체,작업프로세스,장소,부위,사고원인,재발방지대책 및 향후조치계획
15615,TRAIN_15615,2021-03-24 오전 07:30,정규작업 -,맑음,16℃,50%,건축 / 건축물 / 자동차 관련시설,"2,086㎡","지상 1층, 지하 1층",깔림,없음,건축 > 건축 토공사,가시설 > 거푸집,설치작업,자동차 관련시설 / 내부,거푸집 / 옆,거푸집 설치중 고정 미흡,재발 방지 대책 수립과 공사중지 통보.
15631,TRAIN_15631,2021-03-22 오후 03:00,정규작업 -,맑음,15℃,55%,토목 / 상하수도 / 하수도,-,-,없음,없음,토목 > 관공사,토사 및 암반 > 굴착사면,부설 및 다짐작업,하수도 / 인접주변,굴착사면 / 상부(위),굴착면의 연약지반 부위가 작업진행 중 불시에 무너짐,해빙기와 터파기 후 토사붕괴를 면밀히 관찰하여 동종 사고 발생 방지.
15633,TRAIN_15633,2021-03-22 오후 03:00,정규작업 -,맑음,6℃,55%,건축 / 건축물 / 공동주택,"13,777㎡","지상 20층, 지하 6층",물체에 맞음,없음,토목 > 가설공사,건설기계 > 항타 및 항발기,굴착작업,공동주택 / 외부,항타 및 항발기 / 바닥,돌풍으로 인해 보양천막을 고정하는 D링이 풀리면서 천막과 함께 재해자의 오른쪽 얼굴에 부딪힘,천막 결속을 D링 대신 로프로 결속하는 재발 방지 대책.
15640,TRAIN_15640,2021-03-22 오전 11:27,정규작업 -,맑음,15℃,40%,건축 / 건축물 / 교육연구시설,"11,017㎡","지상 5층, 지하 0층",넘어짐(물체에 걸림),없음,건축 > 철근콘크리트공사,건설자재 > 철근,이동,교육연구시설 / 내부,철근 / 바닥,철근이송중 넘어지면서 슬라브 철근사이에 오른쪽 발목이 끼여서 다침,슬라브 배근 발판 설치 및 지정 통로 설정에 대한 재발 방지 대책과 향후 조치 계획.
15641,TRAIN_15641,2021-03-22 오전 11:20,정규작업 -,맑음,15℃,40%,건축 / 건축물 / 공장,"429,752㎡","지상 4층, 지하 0층","절단, 베임",없음,산업설비 > 산업설비공사,건설공구 > 공구류,보수 및 교체작업,공장 / 외부,공구류 / 바닥,부주의,커터칼 사용 시 안전한 작업방법 교육과 가죽장갑 사용.
15648,TRAIN_15648,2021-03-21 오후 02:15,정규작업 -,맑음,10℃,30%,건축 / 건축물 / 노유자시설,"2,433.22㎡","지상 4층, 지하 2층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,기타 > 기타,기타,노유자시설 / 내부,기타 / 바닥,현장 작업중 계단에서 굴러 갈비뼈 골절,부상 치료와 공사 진행을 포함한 향후 조치 계획의 부재.
15654,TRAIN_15654,2021-03-21 오전 10:00,정규작업 -,강우,5℃,30%,건축 / 건축물 / 공동주택,"39,550㎡","지상 28층, 지하 2층",물체에 맞음,없음,건축 > 철근콘크리트공사,기타 > 기타,형틀 및 목공,공동주택 / 내부,기타 / 지하,형틀공이 보 제작작업 못을 박는도중 망치가 빗겨가 좌측중지 가격,개인안전 철저와 산재처리 완료를 통한 재발 방지 대책.
15655,TRAIN_15655,2021-03-21 오전 08:00,작업 전 -,맑음,58℃,50%,건축 / 건축물 / 단독주택,"18,849.16㎡","지상 20층, 지하 3층",물체에 맞음,없음,건축 > 미장공사,기타 > 기타,마감작업,단독주택 / 내부,기타 / 바닥,부주의,재발 방지 대책과 향후 조치 계획.
15656,TRAIN_15656,2021-03-21 오전 00:00,연장근무 -,맑음,3℃,40%,토목 / 철도 / 지하철,-,-,떨어짐(2미터 미만),없음,토목 > 가설공사,기타 > 지하매설물,설치작업,지하철 / 외부,지하매설물 / 지하,"전력관 활선 여부 미파악으로 인한 스파크로, 이후 작업 시공방법 변경하여 사고 재발생 방지 예정",이설공사 시 재해자 산업재해 접수 후 절차 진행 및 정전으로 인한 피해 한전과 협의 계획.
15665,TRAIN_15665,2021-03-19 오후 04:00,정규작업 -,맑음,25℃,60%,토목 / 도로 / 도로,-,-,화상,없음,토목 > 해체 및 철거공사,기타 > 기타,해체작업,도로 / 내부,기타 / 상부(위),방음벽 절단 작업을 위해 라이터를 켜는 순간 주변에 손상 된 락카통 가스에 불이 붙어서 얼굴에 열기가 닿음,작업 전 주변 정리정돈 상태 확인 후 작업투입.
15673,TRAIN_15673,2021-03-19 오전 09:20,정규작업 -,맑음,12℃,70%,건축 / 건축물 / 공동주택,"39,868㎡","지상 27층, 지하 5층",떨어짐(2미터 이상 ~ 3미터 미만),없음,건축 > 철근콘크리트공사,부재 > 개구부,이동,공동주택 / 내부,개구부 / 바닥,제연덕트 개구부 고정 볼트 체결상태 불량,제연덕트 철판 덮개 설치 후 개구부 덮개 2중 설치와 불시 현장점검을 통한 현장 안전관리 상태 확인.
15678,TRAIN_15678,2021-03-18 오후 04:25,정규작업 -,흐림,16℃,10%,건축 / 건축물 / 공동주택,"69,589㎡","지상 25층, 지하 1층",물체에 맞음,없음,토목 > 말뚝공사,기타 > 비산물,항타 및 항발작업,공동주택 / 외부,비산물 / 등쪽(상부),파일 천공후  하부오거 배토부에서 일부 배토되지 못한 부토가 오거 스크류날에 일부 붙어서 바람에 날리면서  떨어짐,"오거 천공 및 인발 시 부토의 떨어짐 위험 사전 점검과 안전 작업 절차에 따른 특별 안전 교육 실시, 오거 인발 시 하부에서 백호 버켓에 와이어 브러쉬를 부착하여 부토 제거, 파일 항타 천공 작업 시 위험 요인 및 대책에 따른 안전 작업 수립과 특별 안전 교육 실시."
15679,TRAIN_15679,2021-03-18 오후 04:10,정규작업 -,맑음,20℃,40%,토목 / 상하수도 / 하수도,-,-,깔림,없음,토목 > 관공사,토사 및 암반 > 굴착사면,연결작업,하수도 / 인접주변,굴착사면 / 하부(아래),오수관로 터파기 구간 관로 연결공사 진행 간 굴착사면 일부가 토사 유실로 인한  오수관로 배관작업 인원 1명  하반신 깔림 사고 발생,"사고현장 안전검사 및 대책 토의, 굴착면 안식각 고려, 터파기 및 비로 인한 굴착부 마찰력 부족에 따른 토사붕괴 방지, 작업 전 현장대리인에 의한 안전점검 및 굴착면 보양을 통한 토사 유실 방지, 발주청, 시공자, 안전관리지도자 합동 토의 및 안전계획 수립."
15684,TRAIN_15684,2021-03-18 오전 11:10,정규작업 -,맑음,13℃,50%,건축 / 건축물 / 문화 및 집회시설,"4,462㎡","지상 2층, 지하 1층",기타,없음,건축 > 건축물 부대공사,기타 > 기타,기타,문화 및 집회시설 / 외부,기타 / 경사면 소단 1단,평소 지병여부는 알수 없으나 작업 휴식 중 외력에 의한 것이 아닌 심장마비가 온 상황으로 심페소생을 실시하고 119 도착 후 응급차로 병원 이송하였으나 사망한 사고임,근로자의 질병 여부 확인 후 현장 투입과 유가족의 요청에 따른 부검 결과에 따른 조치 예정.
15685,TRAIN_15685,2021-03-18 오전 10:30,정규작업 -,맑음,15℃,35%,건축 / 건축물 / 공동주택,0㎡,"지상 20층, 지하 2층",넘어짐(미끄러짐),없음,건축 > 가설공사,가시설 > 비계,이동,공동주택 / 외부,비계 / 옥외비계 계단,작업자의 작업이동시 불안전한 보행 및 주위태만,작업 이동 시 불안전한 행동에 대한 지속적인 교육 필요성.
15689,TRAIN_15689,2021-03-17 오후 05:10,정규작업 -,맑음,18℃,41%,토목 / 도로 / 도로,-,-,교통사고,없음,토목 > 도로 및 포장공사,기타 > 차량,정리작업,도로 / 내부,차량 / 옆,안전시설물  윙카 설치중  차량간 거리 확보를 못한 차량에 의해  접촉한 사고임,현장 내 차량 간 안전거리 확보를 위한 계도 표지판 추가 설치를 통한 교통흐름 원활화.
15701,TRAIN_15701,2021-03-17 오전 08:51,정규작업 -,맑음,9℃,0%,건축 / 건축물 / 근린생활시설,490㎡,"지상 1층, 지하 0층",깔림,붕괴,토목 > 토공사,토사 및 암반 > 절토사면,조립작업,근린생활시설 / 외부,절토사면 / 하부(아래),절토사면 휴식각 지키지않아 절토면 토사붕괴,주변 정리 및 절토사면 경사각 확보와 안전관리 확보를 통한 재발 방지 대책 및 향후 조치 계획.
15702,TRAIN_15702,2021-03-17 오전 08:45,정규작업 -,맑음,7℃,30%,건축 / 건축물 / 공장,"429,752㎡","지상 4층, 지하 0층",떨어짐(2미터 미만),없음,산업설비 > 산업설비공사,가시설 > 비계,해체작업,공장 / 작업발판,비계 / 상부(위),비계 파이프 연결핀을 제대로 체결하여야 하난 느슨하게 체결함,비계 연결핀 긴결상태 확인점검을 통한 작업 실시.
15707,TRAIN_15707,2021-03-16 오후 05:30,정규작업 -,맑음,4℃,60%,건축 / 건축물 / 문화 및 집회시설,"41,535㎡","지상 4층, 지하 3층",부딪힘,없음,기타 > 기타,가시설 > 비계,설치작업,문화 및 집회시설 / 내부,비계 / 바닥,바닥에 설치된 뿜칠 배관에걸려 넘어지며 우측 다리를 부딪힘,통로부와 주변 정리정돈을 통한 재발 방지 대책.
15712,TRAIN_15712,2021-03-16 오후 12:50,정규작업 -,맑음,10℃,60%,건축 / 건축물 / 근린생활시설,"4,032㎡","지상 10층, 지하 1층",화상,화재,건축 > 건축물 부대공사,"기타 > 전주, 전선",전기작업,근린생활시설 / 내부,"전주, 전선 / 계측기 교체 중",계측기 교체 시 빠져있던 전선이 커버가 설치된 PT(계기용 트랜스)에 맞물리면서 혼촉 발생,작업 시 전류가 통하는 부분에 다중으로 방지커버를 설치하고 화재안전 관련 교육을 실시하는 혼촉 방지 및 화재 안전 대책.
15716,TRAIN_15716,2021-03-16 오전 09:50,정규작업 -,맑음,8℃,45%,토목 / 도로 / 기타,-,-,끼임,없음,토목 > 가설공사,건설자재 > 자재,상차 및 하역작업,기타 / 외부,자재 / 바닥,방호벽 하역 위치를 수정하기 위해 지면에서 30cm 정도 인양하던 중 작업자가 방호벽에 근접하여 서 있다가 방호벽이 흔들리며  모서리가 지면에 잠시 닿는  순간 발가락이 끼임,"하역 및 장비작업 시 근로자 접근 금지와 인양물 위치 이동 시 보조로프를 이용한 위치 조정, 안전관리 철저 요청 및 안전관리 자체 점검 실시."
15727,TRAIN_15727,2021-03-15 오후 04:25,정규작업 -,맑음,12℃,30%,토목 / 상하수도 / 하수도,-,-,깔림,없음,토목 > 토공사,토사 및 암반 > 굴착사면,굴착작업,하수도 / 지선관로공사 굴착부분,굴착사면 / 옆,굴착후 사면 토질 연약부분 붕괴,연약지반 작업 시 임시가시설 설치에 대한 재발 방지 대책 및 향후 조치 계획.
15730,TRAIN_15730,2021-03-15 오후 02:45,정규작업 -,맑음,13℃,40%,건축 / 건축물 / 공장,"429,752㎡","지상 4층, 지하 0층",넘어짐(기타),없음,산업설비 > 산업설비공사,기타 > 기타,이동,공장 / 외부,기타 / 바닥,부주의,이동 중 휴대폰 사용 등 타행위 금지 및 주의 집중 교육 실시.
15731,TRAIN_15731,2021-03-15 오후 01:30,정규작업 -,맑음,13℃,40%,건축 / 건축물 / 공장,"133,824㎡","지상 4층, 지하 0층",넘어짐(물체에 걸림),없음,기계설비 > 기계설비공사,기타 > 기타,운반작업,공장 / 내부,기타 / 상부(위),부주의,장비를 이용한 운반에 대한 재발 방지 대책과 향후 조치 계획.
15741,TRAIN_15741,2021-03-14 오후 03:20,정규작업 -,맑음,21℃,55%,건축 / 건축물 / 숙박시설,"220,549㎡",-,넘어짐(기타),없음,건축 > 수장공사,건설공구 > 공구류,설치작업,숙박시설 / 내부,공구류 / 상부(위),,"안전사고 예방을 위한 재교육 실시와 근로자 작업 시 가장자리 위치 금지 및 수시로 이동하여 근로자 중심 유지, 우마 작업 시 수평 유지 후 사용에 대한 조치 계획."
15747,TRAIN_15747,2021-03-13 오후 03:00,정규작업 -,맑음,4℃,72%,산업환경설비 / 발전시설,-,-,물체에 맞음,없음,기계설비 > 기계설비공사,기타 > 기타,운반작업,/ 내부,기타 / 바닥,자재 전달 중 적정 거리 미확보 및 동료 근로자 준비상태 미확인,자재 전달 시 적정거리 확보와 동료 준비 상태 확인을 통한 산재 처리 및 재해 예방 토론회 실시.
15752,TRAIN_15752,2021-03-13 오후 02:00,정규작업 -,맑음,14℃,50%,건축 / 건축물 / 공장,"30,777㎡","지상 3층, 지하 0층",물체에 맞음,없음,건축 > 건축물 부대공사,가시설 > 기타 가시설,정리작업,공장 / 내부,기타 가시설 / 상부(위),상부 서포트 해체작업시 작업발판 미설치,"작업방법 변경에 따른 작업발판 설치 후 해체작업과 낙하물 예상위치 점검, 입원치료 및 산업재해보험 처리 완료."
15756,TRAIN_15756,2021-03-13 오후 12:55,정규작업 -,맑음,18℃,50%,건축 / 건축물 / 공동주택,"533,066.62㎡","지상 20층, 지하 2층",끼임,없음,건축 > 조적공사,건설자재 > 자재,이동,공동주택 / 내부,자재 / 바닥,레미탈 자재를 수레에 싣고 세대내부로 운반하던중 수레가 전도되며 우측 종아리가 협착됨,"자재 운반 안전 강화를 위한 기술적 대책으로 보조 지지대 설치, 자재 운반 무게 기준 수립, 무게중심 이탈 방지를 위한 측판 확인 및 자재 결속 실시가 포함되며, 관리적 대책으로는 작업 전 충분한 스트레칭 및 건강상태 확인, 자재 이동구간의 단차 및 장애물 여부 확인, 운반 무게 기준 준수 상태 수시 확인이 이루어지고, 교육적 대책으로는 사고사례 전파 및 재발 방지 특별교육, 자재 운반 시 과속 및 과적 금지 교육, 작업 중 자체 휴식 권장 및 건강상태 이상 시 보고체계 교육이 시행된다."
15760,TRAIN_15760,2021-03-13 오전 09:50,휴일근무 -,맑음,14℃,50%,건축 / 건축물 / 근린생활시설,"54,145㎡","지상 23층, 지하 6층",넘어짐(기타),전도,건축 > 목공사,기타 > 기타,조립작업,근린생활시설 / 내부,기타 / 바닥,지하 4층 D/A 구간 콘크리트 상단면과 동바리시스템 상부 거푸집 합판과의 단차를 인지 못함 작업자세 불량으로 발생한 사고임.,"사전 지반 상태 철저 파악과 안전대책 수립 후 작업 진행, 단차부 깔판 및 깔목 설치로 콘크리트 단부와의 단차 최소화, 단차부 복구 후 안전 확인 후 작업 투입, 대책 수립 및 안전조치 강화와 안전순찰 강화를 포함한 향후 조치 계획."
15763,TRAIN_15763,2021-03-13 오전 09:30,정규작업 -,흐림,9℃,60%,토목 / 터널 / 철도터널,-,-,부딪힘,없음,토목 > 터널공사,건설자재 > 자재,준비작업,철도터널 / 외부,자재 / 옆,침사지박스의 돌출된 부분을 밟고 올라서다가 발이 미끄러지면서 사고발생,철재 침사조 인양고리 해체 시 이동식 승강계단 견고히 설치와 재발 방지 대책 이행 여부 확인.
15768,TRAIN_15768,2021-03-12 오후 04:30,정규작업 -,흐림,10℃,60%,건축 / 건축물 / 공동주택,"82,610㎡","지상 20층, 지하 2층",넘어짐(미끄러짐),없음,건축 > 조경공사,건설공구 > 사다리,마감작업,공동주택 / 외부,사다리 / 하부(아래),당일 오전 우천으로인한 조경용 사다리 및 안전화 바닥 물기로 인한 미끄러짐 위험 요소,"우천 등 악천후 이후 외부 작업 투입 시 사전 작업 상황 확인, 고령자 고소작업 금지, 관련 공종 특별안전교육 실시, 신규작업자 고령자 투입 검토 및 고소 작업 등 작업배치 금지."
15770,TRAIN_15770,2021-03-12 오후 04:00,정규작업 -,흐림,13℃,55%,건축 / 건축물 / 공장,"24,383㎡","지상 13층, 지하 2층",넘어짐(미끄러짐),없음,토목 > 토공사,토사 및 암반 > 굴착사면,정리작업,공장 / 내부,굴착사면 / 상부(위),약 1.5m 높이의 소단에서 콘크리트잔재물 청소작업 중 작업자의 단순과실로 발의 헛딛어 넘어져 좌측발 정강이뼈가 골절되는 사고 발생,토공 굴착 시 경사면 기울기를 1:1(건지기준) 구배로 조성하였으나 재해자의 부주의로 사고가 발생하여 추가 사고 예방을 위한 현장 내 전 작업자에 대한 위험요인 안전교육 실시.
15771,TRAIN_15771,2021-03-12 오후 03:31,정규작업 -,맑음,5℃,10%,건축 / 건축물 / 공동주택,"2,400,000㎡","지상 35층, 지하 2층",떨어짐(2미터 미만),없음,건축 > 철근콘크리트공사,건설공구 > 사다리,이동,공동주택 / 외벽,사다리 / 바닥,사다리 하단에서 발 헛디딤,사다리 연장과 이동통로 안전점검을 포함한 재발 방지 대책 및 향후 조치 계획.
15772,TRAIN_15772,2021-03-12 오후 03:16,불류불능 -,맑음,20℃,55%,토목 / 도로 / 도로,-,-,질병,없음,토목 > 철근콘크리트공사,질병 > 질병,조립작업,도로 / 근골격계 질환 특정장소 지정할수 없음,질병 / 근골격계 질환 특정부위 지정할수 없음,"근골격계 질환 질병의 직접원인(부자연스런 작업자재,반복성,과도한 힘을 사용 등) 기초요인(체력, 숙련도) 및 촉진요인(업무량,업무시간,업무스트레스 등)을 제거하거나 건강재해 예방을 최소화 조치 미흡","근골격계 질환 발병의 직접원인, 기초요인 및 촉진요인을 제거하거나 관리하여 건강재해 예방을 최소화하는 예방 조치."
15778,TRAIN_15778,2021-03-12 오전 10:30,정규작업 -,맑음,8℃,40%,토목 / 철도 / 지하철,-,-,부딪힘,없음,토목 > 토공사,시설물 > 옹벽,운반작업,지하철 / 외부,옹벽 / 바닥,돌망태를 잡고 경사로 이동하는 과정에서 손가락 골절,교육적 조치 시행.
15792,TRAIN_15792,2021-03-11 오전 10:00,정규작업 -,흐림,7℃,40%,건축 / 건축물 / 공동주택,"108,043.68㎡","지상 1층, 지하 18층",기타,없음,건축 > 철근콘크리트공사,기타 > 기타,인양작업,공동주택 / 내부,기타 / 바닥,물과 시멘트를 옮기던 중 무릎 통증 발생,신규채용 시 근로자 건강상태 확인을 통한 재발 방지 대책과 향후 조치 계획.
15793,TRAIN_15793,2021-03-11 오전 09:30,정규작업 -,맑음,13℃,39%,산업환경설비 / 발전시설,-,-,끼임,없음,산업설비 > 산업설비공사,건설기계 > 지게차,운반작업,/ 외부,지게차 / 앞,정지 신호 후 자재에 접근하였으나 지게차 운전원이 포크를 움직임,운전원 외 장비 정리 작업 실시 금지와 현장 내 유사 장비 5대 대상 별도 손잡이 부착을 통한 재발 방지 대책.
15794,TRAIN_15794,2021-03-11 오전 08:50,정규작업 -,맑음,10℃,20%,산업환경설비 / 산업생산시설 / 석유화학공장,-,-,깔림,없음,산업설비 > 산업설비공사,시설물 > 위험물저장탱크,조립작업,석유화학공장 / 내부,위험물저장탱크 / 바닥,4인1조 탱크내부 작업중 발생한 전도사고이며 구체적인 사고원인 조사 중,사고원인 파악 후 대책 강구에 대한 재발 방지 대책과 향후 조치 계획.
15797,TRAIN_15797,2021-03-10 오후 06:47,정규작업 -,흐림,7℃,73%,건축 / 건축물 / 공장,"92,109㎡","지상 5층, 지하 1층",넘어짐(기타),없음,기계설비 > 기계설비공사,시설물 > 건물,이동,공장 / 내부,건물 / 바닥,작업자 단순과실,계단 이동 시 안전수칙 교육과 사례전파 요청을 통한 재발 방지 대책 마련.
15803,TRAIN_15803,2021-03-10 오후 03:00,정규작업 -,흐림,17℃,50%,건축 / 건축물 / 공동주택,"145,613㎡","지상 29층, 지하 3층",넘어짐(물체에 걸림),없음,건축 > 건축물 부대공사,부재 > 배관,운반작업,"공동주택 / 102동 1,2라인 출입구",배관 / 압송관,"전도 방지 안전조치 미 설정, 미 지정 이동통로 사용",압송관 주변 접금 금지 게시물 게시와 근로자 안전교육 실시
15806,TRAIN_15806,2021-03-10 오전 11:50,작업 전 -,맑음,10℃,49%,건축 / 건축물 / 근린생활시설,"5,884㎡","지상 14층, 지하 2층",물체에 맞음,충돌,건축 > 가설공사,가시설 > 작업발판,기타,근린생활시설 / 외부,작업발판 / 하부(아래),1~2일전 외부비계 작업발판 작업 후 띠장 연결부에 유격 발생함. 당일 강풍으로 인해 외부 작업중지 중 돌풍에 의해 작업발판이 추락함,"작업발판 띠장 연결부위 긴결철물 부착, 낙하물방지망 재정비 및 외부비계 작업발판 연결부 연결철물과 낙하물방지망 보강을 통한 강풍 대비 안전시설물 재정비."
15807,TRAIN_15807,2021-03-10 오전 11:40,정규작업 -,맑음,12℃,10%,산업환경설비 / 발전시설,-,-,부딪힘,없음,기계설비 > 기계설비공사,가시설 > 비계,이동,/ 내부,비계 / 바닥,1)비계 발판 수정치 안전조치 미실시(틈새 보강 미실시)2)보행중 위험 사항 미 확인(작업 전 주변 환경 미인지 및 주의부족),"비계 발판 수정 시 안전조치 확인, 작업 전 위험 요인 사전 확인 및 보행 안전 수칙 교육 실시, 작업장 정리 정돈 상태 수시 확인."
15808,TRAIN_15808,2021-03-10 오전 11:00,정규작업 -,맑음,18℃,40%,건축 / 건축물 / 공동주택,"105,048㎡","지상 42층, 지하 3층",넘어짐(기타),기타,건축 > 가설공사,가시설 > 강관동바리,정리작업,공동주택 / 인접주변,강관동바리 / 바닥,작업자의 단순과실,작업자 단순과실에 따른 재발 방지 대책 및 향후 조치 계획 없음.
15816,TRAIN_15816,2021-03-10 오전 08:10,정규작업 -,흐림,7℃,73%,건축 / 건축물 / 공장,"92,109㎡","지상 5층, 지하 1층",넘어짐(기타),없음,기계설비 > 기계설비공사,시설물 > 건물,이동,공장 / 내부,건물 / 바닥,작업자 단순과실,계단 이동 시 안전수칙 교육과 사례전파 요청을 통한 재발 방지 대책 마련.
15817,TRAIN_15817,2021-03-09 오후 04:45,정규작업 -,맑음,12℃,50%,건축 / 건축물 / 공동주택,"260,805㎡","지상 29층, 지하 6층",넘어짐(물체에 걸림),없음,건축 > 철근콘크리트공사,기타 > 기타,운반작업,공동주택 / 외부,기타 / 바닥,이동 중 시야 미확보,불안전 행동 요소 관련 교육 및 현장 정리 정돈을 통한 재발 방지 대책과 향후 조치 계획.
15825,TRAIN_15825,2021-03-09 오후 02:40,정규작업 -,맑음,16℃,50%,토목 / 상하수도 / 하수도,-,-,끼임,없음,토목 > 가설공사,가시설 > 강관동바리,설치작업,하수도 / 내부,강관동바리 / 바닥,거푸집 동바리 작업중 강관서포트 내관이 미끄러져 지지핀 홈에 손가락끼임으로 발생,현장 안전관리 철저와 치료완료 후 산재처리 예정.
15830,TRAIN_15830,2021-03-09 오전 11:50,정규작업 -,흐림,15℃,50%,건축 / 건축물 / 공장,"429,752㎡","지상 4층, 지하 0층",기타,없음,산업설비 > 산업설비공사,기타 > 기타,설치작업,공장 / 외부,기타 / 바닥,부주의,작업장 바닥 정리된 상태에서 작업 실시.
15839,TRAIN_15839,2021-03-09 오전 07:40,정규작업 -,맑음,8℃,60%,건축 / 건축물 / 공동주택,"15,709㎡","지상 3층, 지하 0층",질병,없음,건축 > 방수공사,질병 > 질병,마감작업,공동주택 / 내부,질병 / 바닥,"예전 심장수술도 하고, 당뇨도 있고 기저질환이 있어 항시 심정지 등 자신이 쓰러지거나 위험할 경우 주변인들에게 주머니에 들고다니는 약이 있으니 먹여달라고 이야기를 했던 사항이 있는 것으로 보아, 11일 부검을 해봐야 정확한 사인을 알 수 있겠으나,  건설사고로 보이지는 않고(외상 없음) 해당 인부의 기저질환으로 갑작스러운 심정지로 사망한 것으로 추정됨.","인부 교육 시 지병이나 애로사항이 있는 경우 사전 공지를 통해 작업 제외, 간단한 작업 수행, 관리자 및 동행자의 동행을 필수로 하는 조치와 시공사 및 감리단에 대한 지도를 포함한 향후 조치 계획."
15840,TRAIN_15840,2021-03-09 오전 06:33,작업 전 -,맑음,5℃,60%,건축 / 건축물 / 공동주택,"234,577㎡","지상 59층, 지하 8층",깔림,충돌,기타 > 기타,기타 > 차량,이동,공동주택 / 현장출입구(경비실옆),차량 / 바닥,. 자재진입차량 유도 및 통제를 위한 경비원 이동 동선 선정 미흡.. 운전자의 시야가 확보되는 정면 또는 운전석 방향으로 진입하지 않고 조수석 방향의 뒤쪽에서 진입으로 운전자가 인식 못함.,"자재반입차량의 1차 정지선 구획 설정과 노란 정지선에 정차, 정지구역에 일단정지 안내표지 설치, 경비원의 자재반입차량 사고방지 및 확인방법 교육, 재발방지 및 작업방법 개선안 강구."
15841,TRAIN_15841,2021-03-08 오후 05:43,정규작업 -,맑음,14℃,60%,건축 / 건축물 / 공동주택,"91,887.79㎡","지상 27층, 지하 2층",넘어짐(물체에 걸림),없음,건축 > 철근콘크리트공사,건설자재 > 철근,운반작업,공동주택 / 철근배근 상부,철근 / 철근배근 상부,불안전한 작업환경 및 작업자의 부주의,"작업전 TBM을 통해 작업순서 및 작업방법, 해당작업장의 이동구간 교육 및 숙지와 철근배근 상부에 매트철근망, 합판 등을 충분히 설치하여 안전한 이동통로 확보 및 근로자 이동통로 확보 상태 확인."
15842,TRAIN_15842,2021-03-08 오후 04:00,기타 -,맑음,13℃,30%,건축 / 건축물 / 공동주택,"20,795㎡","지상 25층, 지하 1층",질병,없음,건축 > 미장공사,질병 > 질병,마감작업,공동주택 / 내부,질병 / 기존 질병 악화,반복작업으로 인한 근골격계질환(지병) 악화,근골격계질환 예방을 위한 프로그램 시행과 올바른 작업방법 및 적정 휴식기간에 대한 사전교육 실시.
15845,TRAIN_15845,2021-03-08 오후 02:20,정규작업 -,맑음,12℃,51%,토목 / 기타,-,-,"절단, 베임",없음,토목 > 말뚝공사,건설기계 > 천공기,연결작업,/ 내부,천공기 / 앞,작업자와 운전원 신호수사이 상호신호체계가 미흡하여 발생.,"장비운전원, 작업자, 장비신호수 간 신호체계 확립과 특별안전교육 실시, 전체 현장 특별안전교육 실시, 작업 종료 상태 상호 확인 후 장비 가동 작업 지시, 사고 발생 부위 보완용 거치대 제작 및 설치, 사고 발생 작업에 대한 일일 안전교육 및 작업 방법 신호체계 확인 후 작업 진행, 접합면 보조거치대 사용을 통한 위험 요인 제거, 사고 사례에 대한 지속적 전파 및 교육 실시."
15852,TRAIN_15852,2021-03-08 오전 11:30,정규작업 -,맑음,15℃,30%,토목 / 기타 / 부지조성,-,-,넘어짐(물체에 걸림),없음,토목 > 철근콘크리트공사,건설자재 > 철근,타설작업,부지조성 / 외부,철근 / 바닥,바닥 콘크리트 타설중 배근된 철근 사이로 발이 끼임,실족방지망 설치와 타설 작업 시 2인 1조 작업 실시.
15858,TRAIN_15858,2021-03-08 오전 10:30,정규작업 -,맑음,9℃,40%,건축 / 건축물 / 공동주택,"138,368㎡","지상 38층, 지하 3층",떨어짐(2미터 미만),없음,건축 > 철근콘크리트공사,건설공구 > 사다리,기타,공동주택 / 내부,사다리 / 바닥 사다리,협소한 장소에 한해 사다리 사용이 불가피할 경우 사전 허가를 받고 작업을 진행해야하나 무단으로 작업 진행,"고소작업 시 B/T 비계 및 고소작업대를 사용하고 협소한 장소에 한해 사다리 사용이 불가피할 경우 사전 사용허가를 받고 작업 진행하며, 사다리 작업 시 2인 1조로 진행하고 아웃트리거를 사용하며 최상단 발판 작업을 금지하고 고소작업자의 안전대 고리 체결을 특별 관리하는 조치."
15860,TRAIN_15860,2021-03-08 오전 10:00,정규작업 -,맑음,10℃,60%,건축 / 건축물 / 공동주택,"16,842㎡","지상 5층, 지하 1층",넘어짐(미끄러짐),없음,건축 > 타일 및 돌공사,시설물 > 건물,마감작업,공동주택 / 내부,건물 / 바닥,미장작업시 사용한 물을 수시로 제거하지 못함,작업 시 안전수칙 준수와 완치 시까지 입원치료를 통한 재발 방지 대책.
15863,TRAIN_15863,2021-03-08 오전 09:15,정규작업 -,맑음,7℃,83%,산업환경설비 / 발전시설,-,-,끼임,없음,건축 > 철골공사,건설기계 > 기중기(이동식크레인 등),거치작업,/ 외부,기중기(이동식크레인 등) / 바닥,아우트리거 구조 미이해 근로자 임의 작업,아우트리거 받침판 손잡이 위치 변경 및 임의 작업 금지와 현장 내 유사 크레인 전수 조사 및 손잡이 용접 부착으로 인한 재발 방지 대책.
